timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734340212810,117,Research/research-182,200,OK,Thread Group For 50 Users 1-1,text,true,,13135,1427,3,8,https://www.mit.edu/research/,55,0,0
1734340212810,55,Research/research-182-0,301,Moved Permanently,Thread Group For 50 Users 1-1,text,true,,693,713,3,8,https://www.mit.edu/research,55,0,0
1734340212865,62,Research/research-182-1,200,OK,Thread Group For 50 Users 1-1,text,true,,12442,714,3,8,https://www.mit.edu/research/,61,0,0
1734340212927,66,Research/research/-184,200,OK,Thread Group For 50 Users 1-1,text,true,,12442,714,3,8,https://www.mit.edu/research/,66,0,0
1734340212994,112,Research/themes/mit/assets/css/main.css-186,200,OK,Thread Group For 50 Users 1-1,text,true,,72654,574,3,9,https://www.mit.edu/themes/mit/assets/css/main.css?s4h9fq,60,0,0
1734340213106,369,Research/files/images/201807/MIT-Sole-Vibes_0.jpg-187,200,OK,Thread Group For 50 Users 1-1,bin,true,,171048,623,3,9,https://www.mit.edu/files/images/201807/MIT-Sole-Vibes_0.jpg,239,0,0
1734340213476,309,Research/files/images/201807/MIT-Brain-Drug-Delivery-03.jpg-188,200,OK,Thread Group For 50 Users 1-1,bin,true,,167421,633,3,9,https://www.mit.edu/files/images/201807/MIT-Brain-Drug-Delivery-03.jpg,65,0,0
1734340213786,378,Research/themes/mit/assets/img/cursors/pause.svg-194,200,OK,Thread Group For 50 Users 1-1,text,true,,762,650,4,11,https://www.mit.edu/themes/mit/assets/img/cursors/pause.svg,378,0,0
1734340214164,50,Research/themes/mit/assets/js/modernizr.js-192,200,OK,Thread Group For 50 Users 1-1,text,true,,6147,563,4,11,https://www.mit.edu/themes/mit/assets/js/modernizr.js?s4h9fq,50,0,0
1734340214214,652,Research/themes/mit/assets/img/cursors/plus.svg-195,200,OK,Thread Group For 50 Users 1-1,text,true,,750,649,4,11,https://www.mit.edu/themes/mit/assets/img/cursors/plus.svg,652,0,0
1734340214866,655,Research/themes/mit/assets/js/main.js-193,200,OK,Thread Group For 50 Users 1-1,text,true,,374645,558,4,12,https://www.mit.edu/themes/mit/assets/js/main.js?s4h9fq,297,0,0
1734340215521,53,Research/themes/mit/assets/js/PauseVideo.44487d0c747ba929687f.js-204,200,OK,Thread Group For 50 Users 1-1,text,true,,1535,578,4,12,https://www.mit.edu/themes/mit/assets/js/PauseVideo.44487d0c747ba929687f.js,53,0,0
1734340215574,55,Research/themes/mit/assets/js/lazysizes-unveilhooks.3bbadeef1592cbebc3d2.js-207,200,OK,Thread Group For 50 Users 1-1,text,true,,8492,589,4,12,https://www.mit.edu/themes/mit/assets/js/lazysizes-unveilhooks.3bbadeef1592cbebc3d2.js,55,0,0
1734340215629,52,Research/themes/mit/assets/js/lazysizes.86d137a321e96feaa1d0.js-206,200,OK,Thread Group For 50 Users 1-1,text,true,,7053,577,4,12,https://www.mit.edu/themes/mit/assets/js/lazysizes.86d137a321e96feaa1d0.js,52,0,0
1734340215682,49,Research/themes/mit/assets/js/Gallery.65ba9fc3e65cbdd959e3.js-203,200,OK,Thread Group For 50 Users 1-1,text,true,,2636,575,4,12,https://www.mit.edu/themes/mit/assets/js/Gallery.65ba9fc3e65cbdd959e3.js,49,0,0
1734340215731,108,Research/themes/mit/assets/js/Slider.078a4f7ab331b45e9a4e.js-205,200,OK,Thread Group For 50 Users 1-1,text,true,,45191,574,4,12,https://www.mit.edu/themes/mit/assets/js/Slider.078a4f7ab331b45e9a4e.js,108,0,0
1734340214253,4725,Research/research-182,200,OK,Thread Group For 50 Users 1-2,text,false,"The operation lasted too long: It took 4,725 milliseconds, but should not have lasted longer than 1,500 milliseconds.",13135,1427,6,17,https://www.mit.edu/research/,50,0,0
1734340214253,50,Research/research-182-0,301,Moved Permanently,Thread Group For 50 Users 1-2,text,true,,693,713,6,17,https://www.mit.edu/research,50,0,0
1734340214303,4675,Research/research-182-1,200,OK,Thread Group For 50 Users 1-2,text,true,,12442,714,6,17,https://www.mit.edu/research/,4675,0,0
1734340218979,1275,Research/research/-184,200,OK,Thread Group For 50 Users 1-2,text,true,,12442,714,7,20,https://www.mit.edu/research/,1274,0,0
1734340220254,4303,Research/themes/mit/assets/css/main.css-186,200,OK,Thread Group For 50 Users 1-2,text,false,"The operation lasted too long: It took 4,303 milliseconds, but should not have lasted longer than 1,500 milliseconds.",72654,574,9,26,https://www.mit.edu/themes/mit/assets/css/main.css?s4h9fq,349,0,0
1734340224331,335,Research/research-182,200,OK,Thread Group For 50 Users 1-3,text,true,,13135,1427,9,26,https://www.mit.edu/research/,168,0,0
1734340224331,168,Research/research-182-0,301,Moved Permanently,Thread Group For 50 Users 1-3,text,true,,693,713,9,26,https://www.mit.edu/research,168,0,0
