game_id,red_heuristic,blue_heuristic,red_depth,blue_depth,red_time_limit,blue_time_limit,winner,game_duration_sec,total_moves,red_avg_move_time,blue_avg_move_time,red_timeouts,blue_timeouts
H_1,1,2,1,1,5000,5000,Blue,3,12,0,0,1,1
H_2,1,2,1,1,5000,5000,Blue,3,13,0,0,1,1
H_3,1,2,1,1,5000,5000,Blue,3,12,0,0,1,1
H_4,1,2,1,1,10000,10000,Blue,3,13,0,0,1,1
H_5,1,2,1,1,10000,10000,Blue,4,13,0.142857,0,1,1
H_6,1,2,1,1,10000,10000,Blue,4,13,0,0,1,1
H_7,1,2,2,2,5000,5000,Blue,16,104,3.90385,2.32692,1,1
H_8,1,2,2,2,5000,5000,Blue,15,105,3.32075,2.28846,1,1
H_9,1,2,2,2,5000,5000,Blue,15,104,3.92308,2.28846,1,1
H_10,1,2,2,2,10000,10000,Blue,15,104,3.75,2.57692,1,1
H_11,1,2,2,2,10000,10000,Blue,16,104,3.90385,2.38462,1,1
H_12,1,2,2,2,10000,10000,Blue,15,104,3.67308,2.61538,1,1
H_13,1,2,3,3,5000,5000,Blue,14,84,11.0238,12.7619,1,1
H_14,1,2,3,3,5000,5000,Blue,14,85,10.8837,11.1429,1,1
H_15,1,2,3,3,5000,5000,Blue,14,85,11.814,12.2143,1,1
H_16,1,2,3,3,10000,10000,Blue,13,84,10.8333,13.2143,1,1
H_17,1,2,3,3,10000,10000,Blue,13,84,9.80952,12.6905,1,1
H_18,1,2,3,3,10000,10000,Blue,13,84,10.1905,13.0476,1,1
H_19,1,3,1,1,5000,5000,Blue,4,13,0,0,1,1
H_20,1,3,1,1,5000,5000,Blue,4,13,0,0,1,1
H_21,1,3,1,1,5000,5000,Blue,4,12,0,0,1,1
H_22,1,3,1,1,10000,10000,Blue,3,13,0,0,1,1
H_23,1,3,1,1,10000,10000,Blue,3,12,0,0,1,1
H_24,1,3,1,1,10000,10000,Blue,3,13,0,0,1,1
H_25,1,3,2,2,5000,5000,Blue,15,101,3.31373,3.32,1,1
H_26,1,3,2,2,5000,5000,Blue,16,101,3.37255,3.36,1,1
H_27,1,3,2,2,5000,5000,Blue,15,101,3.2549,3.24,1,1
H_28,1,3,2,2,10000,10000,Blue,18,101,2.98039,2.92,1,1
H_29,1,3,2,2,10000,10000,Blue,14,101,3.33333,3.02,1,1
H_31,1,3,3,3,5000,5000,Blue,4,21,7.36364,8.5,1,1
H_32,1,3,3,3,5000,5000,Blue,4,20,8.4,6.1,1,1
H_33,1,3,3,3,5000,5000,Blue,4,20,9.1,9,1,1
H_34,1,3,3,3,10000,10000,Blue,4,21,8.18182,10.3,1,1
H_35,1,3,3,3,10000,10000,Blue,5,21,7.09091,7.9,1,1
H_36,1,3,3,3,10000,10000,Blue,5,21,8.63636,10.2,1,1
H_37,1,4,1,1,5000,5000,Blue,14,96,0,0,1,1
H_38,1,4,1,1,5000,5000,Blue,14,96,0,0,1,1
H_39,1,4,1,1,5000,5000,Blue,14,96,0,0,1,1
H_40,1,4,1,1,10000,10000,Blue,15,96,0.125,0.75,1,1
H_41,1,4,1,1,10000,10000,Blue,14,96,0.0416667,0,1,1
H_42,1,4,1,1,10000,10000,Blue,14,97,0,0,1,1
H_49,1,4,3,3,5000,5000,Blue,15,94,13.9362,11.6383,1,1
H_50,1,4,3,3,5000,5000,Blue,17,94,12.6596,10.3617,1,1
H_51,1,4,3,3,5000,5000,Blue,15,94,13.383,12.0426,1,1
H_52,1,4,3,3,10000,10000,Blue,17,94,12.7447,11.6596,1,1
H_53,1,4,3,3,10000,10000,Blue,17,94,11.4255,11.4255,1,1
H_54,1,4,3,3,10000,10000,Blue,15,94,12.9574,10.8085,1,1
H_55,1,5,1,1,5000,5000,Blue,4,17,0,0,1,1
H_56,1,5,1,1,5000,5000,Blue,4,17,0,0,1,1
H_57,1,5,1,1,5000,5000,Blue,4,17,0,0,1,1
H_58,1,5,1,1,10000,10000,Blue,4,16,0,0,1,1
H_59,1,5,1,1,10000,10000,Blue,4,16,0,0,1,1
H_60,1,5,1,1,10000,10000,Blue,4,16,0,0,1,1
H_61,1,5,2,2,5000,5000,Blue,15,106,4.28302,2.69811,1,1
H_62,1,5,2,2,5000,5000,Blue,16,106,4.01887,2.56604,1,1
H_63,1,5,2,2,5000,5000,Blue,16,106,4.16981,2.86792,1,1
H_64,1,5,2,2,10000,10000,Blue,16,106,4.26415,2.71698,1,1
H_65,1,5,2,2,10000,10000,Blue,15,106,4.11321,2.83019,1,1
H_66,1,5,2,2,10000,10000,Blue,18,106,4.20755,2.79245,1,1
H_67,1,5,3,3,5000,5000,Blue,5,20,8.5,14.1,1,1
H_68,1,5,3,3,5000,5000,Blue,5,20,8.1,12.3,1,1
H_69,1,5,3,3,5000,5000,Blue,4,20,7.7,12,1,1
H_70,1,5,3,3,10000,10000,Blue,5,20,7.7,11.4,1,1
H_71,1,5,3,3,10000,10000,Blue,5,20,8.5,15,1,1
H_72,1,5,3,3,10000,10000,Blue,5,21,9,12.4,1,1
H_73,1,6,1,1,5000,5000,Blue,13,89,0,0,1,1
H_74,1,6,1,1,5000,5000,Blue,14,88,0,0,1,1
H_75,1,6,1,1,5000,5000,Blue,13,89,0,0,1,1
H_76,1,6,1,1,10000,10000,Blue,13,88,0,0,1,1
H_77,1,6,1,1,10000,10000,Blue,13,89,0,0,1,1
H_78,1,6,1,1,10000,10000,Blue,14,89,0.0222222,0,1,1
H_85,1,6,3,3,5000,5000,Blue,4,20,5.6,11.4,1,1
H_86,1,6,3,3,5000,5000,Blue,5,20,6.2,11.8,1,1
H_87,1,6,3,3,5000,5000,Blue,5,20,4.6,12.2,1,1
H_88,1,6,3,3,10000,10000,Blue,4,20,5.8,11.5,1,1
H_89,1,6,3,3,10000,10000,Blue,4,20,5.8,13,1,1
H_90,1,6,3,3,10000,10000,Blue,4,20,6.8,14.3,1,1
H_102,2,1,2,2,10000,10000,Blue,18,109,1.90909,2.35185,1,1
H_129,2,4,1,1,5000,5000,Blue,15,98,0,0,1,1
H_157,2,5,3,3,5000,5000,Blue,18,105,16.0943,16.6538,1,1
H_158,2,5,3,3,5000,5000,Blue,17,104,14.9423,15.6154,1,1
H_159,2,5,3,3,5000,5000,Blue,18,105,15.9811,16.4808,1,1
H_160,2,5,3,3,10000,10000,Blue,18,104,16.7308,16.6154,1,1
H_162,2,5,3,3,10000,10000,Blue,21,105,14.0189,14.5962,1,1
H_163,2,6,1,1,5000,5000,Blue,15,97,0.142857,0.0208333,1,1
H_164,2,6,1,1,5000,5000,Blue,14,97,0.0204082,0,1,1
H_165,2,6,1,1,5000,5000,Blue,14,97,0,0,1,1
