game_id,ai_heuristic,ai_depth,ai_time_limit,winner,game_duration_sec,total_moves,ai_avg_move_time,random_avg_move_time,ai_timeouts,random_timeouts
R_2,1,1,5000,AI,15,99,0,0.16,1,1
R_4,1,1,10000,AI,16,101,0,0,1,1
R_5,1,1,10000,AI,13,91,0,0,1,1
R_6,1,1,10000,AI,14,94,0,0,1,1
R_7,1,2,5000,AI,17,102,0.921569,0,1,1
R_8,1,2,5000,AI,15,102,0.901961,0,1,1
R_9,1,2,5000,AI,16,96,2.6875,0,1,1
R_10,1,2,10000,AI,14,94,1.04255,0,1,1
R_11,1,2,10000,AI,15,98,0.918367,0,1,1
R_12,1,2,10000,AI,15,100,0.96,0,1,1
R_13,1,3,5000,AI,15,96,8.60417,0,1,1
R_14,1,3,5000,AI,15,98,10.0204,0,1,1
R_15,1,3,5000,AI,14,90,9.24444,0,1,1
R_16,1,3,10000,AI,15,96,11.3542,0,1,1
R_17,1,3,10000,AI,14,93,9.80435,0,1,1
R_18,1,3,10000,AI,15,98,8.46939,0,1,1
R_19,2,1,5000,AI,14,91,0,0,1,1
R_21,2,1,5000,AI,15,100,0,0,1,1
R_22,2,1,10000,AI,16,96,0,0,1,1
R_23,2,1,10000,AI,14,94,0,0,1,1
R_25,2,2,5000,AI,14,96,0.895833,0,1,1
R_26,2,2,5000,AI,15,100,1,0,1,1
R_27,2,2,5000,AI,14,98,0.755102,0,1,1
R_28,2,2,10000,AI,14,98,0.77551,0,1,1
R_29,2,2,10000,AI,15,94,1.08511,0,1,1
R_31,2,3,5000,AI,16,99,10,0,1,1
R_32,2,3,5000,AI,14,90,11.6222,0,1,1
R_33,2,3,5000,AI,16,106,10.2453,0,1,1
R_34,2,3,10000,AI,14,94,8.31915,0,1,1
R_35,2,3,10000,AI,14,94,8.97872,0,1,1
R_36,2,3,10000,AI,15,98,9.59184,0,1,1
R_37,3,1,5000,AI,15,99,0,0,1,1
R_38,3,1,5000,AI,14,97,0,0,1,1
R_41,3,1,10000,AI,14,98,0,0,1,1
R_42,3,1,10000,AI,11,70,0,2.4,1,1
R_43,3,2,5000,AI,14,94,0.93617,0,1,1
R_45,3,2,5000,AI,15,98,0.877551,0,1,1
R_46,3,2,10000,AI,15,100,0.88,0,1,1
R_47,3,2,10000,AI,16,100,0.94,0,1,1
R_48,3,2,10000,AI,14,96,1.04167,0,1,1
R_49,3,3,5000,AI,14,94,7,0,1,1
R_50,3,3,5000,AI,15,98,8.85714,0,1,1
R_51,3,3,5000,AI,15,96,10,0,1,1
R_52,3,3,10000,AI,14,96,8.64583,0,1,1
R_53,3,3,10000,AI,16,106,8.41509,0,1,1
R_54,3,3,10000,AI,15,100,8.8,0,1,1
R_55,4,1,5000,AI,14,96,0,0,1,1
R_58,4,1,10000,AI,15,102,0,0,1,1
R_60,4,1,10000,AI,14,97,0,0,1,1
R_61,4,2,5000,AI,15,94,1.06383,0,1,1
R_62,4,2,5000,AI,17,92,1.02174,0,1,1
R_63,4,2,5000,AI,15,96,1.27083,0,1,1
R_64,4,2,10000,AI,17,102,1.27451,0.0392157,1,1
R_65,4,2,10000,AI,14,100,1.18,0,1,1
R_66,4,2,10000,AI,14,96,0.979167,0,1,1
R_67,4,3,5000,AI,14,92,9.43478,0,1,1
R_68,4,3,5000,AI,13,84,11.3095,0,1,1
R_69,4,3,5000,AI,15,100,11.46,0,1,1
R_70,4,3,10000,AI,13,84,9.83333,0,1,1
R_71,4,3,10000,AI,15,96,11.3958,0,1,1
R_72,4,3,10000,AI,15,96,9.4375,0,1,1
R_73,5,1,5000,AI,16,98,0,0.0612245,1,1
R_74,5,1,5000,AI,13,89,0.0227273,0,1,1
R_75,5,1,5000,AI,16,98,0,0,1,1
R_76,5,1,10000,AI,14,92,0,0,1,1
R_79,5,2,5000,AI,13,90,1.17778,0,1,1
R_80,5,2,5000,AI,14,94,1.25532,0,1,1
R_81,5,2,5000,AI,13,88,1.52273,0,1,1
R_82,5,2,10000,AI,14,92,1.43478,0,1,1
R_83,5,2,10000,AI,14,86,1.4186,0,1,1
R_84,5,2,10000,AI,14,90,1.57778,0,1,1
R_85,5,3,5000,AI,15,94,14.8298,0,1,1
R_86,5,3,5000,AI,15,96,12.7708,0,1,1
R_87,5,3,5000,AI,15,92,13.8261,0,1,1
R_88,5,3,10000,AI,16,96,13.8958,0,1,1
R_89,5,3,10000,AI,15,92,14.4783,0,1,1
R_90,5,3,10000,AI,15,94,13.383,0,1,1
R_91,6,1,5000,AI,14,94,0.0212766,0,1,1
R_93,6,1,5000,AI,14,92,0,0,1,1
R_94,6,1,10000,AI,14,94,0,0,1,1
R_95,6,1,10000,AI,14,94,0,0.0638298,1,1
R_96,6,1,10000,AI,14,96,0,0,1,1
R_97,6,2,5000,AI,15,100,1.52,0,1,1
R_98,6,2,5000,AI,15,100,1.02,0,1,1
R_100,6,2,10000,AI,16,98,1.59184,0,1,1
R_101,6,2,10000,AI,15,100,1.32,0,1,1
R_103,6,3,5000,AI,15,98,11.3265,0,1,1
R_104,6,3,5000,AI,15,98,12.2245,0,1,1
R_105,6,3,5000,AI,16,98,13.8367,0,1,1
R_106,6,3,10000,AI,14,92,12.5435,0,1,1
R_107,6,3,10000,AI,14,86,13.6744,0,1,1
R_108,6,3,10000,AI,16,100,11.26,0,1,1
