Criterion,MaxDepth,AvgAccuracy,NodeCount,TreeDepth,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20
IG,1,0.7594,8,1,0.7655,0.7623,0.7530,0.7573,0.7683,0.7593,0.7511,0.7672,0.7565,0.7611,0.7519,0.7531,0.7616,0.7620,0.7593,0.7643,0.7528,0.7557,0.7579,0.7678
IG,2,0.8211,237,2,0.8317,0.8273,0.8056,0.8328,0.8055,0.8285,0.8302,0.8247,0.8245,0.8247,0.8202,0.8245,0.8346,0.8267,0.8058,0.7993,0.8022,0.8299,0.8188,0.8253
IG,3,0.8315,1723,3,0.8259,0.8224,0.8486,0.8389,0.8233,0.8242,0.8236,0.8374,0.8303,0.8256,0.8323,0.8388,0.8257,0.8465,0.8251,0.8156,0.8263,0.8399,0.8333,0.8462
IG,4,0.8088,4007,4,0.8042,0.8254,0.8012,0.7814,0.8248,0.8010,0.8345,0.8036,0.7870,0.8044,0.8277,0.7863,0.8260,0.7961,0.8141,0.8233,0.8104,0.8193,0.7978,0.8081
IG,5,0.7674,546,5,0.8287,0.7522,0.7683,0.7483,0.7565,0.7491,0.7545,0.7530,0.7660,0.7569,0.7550,0.7606,0.8244,0.7496,0.8359,0.7646,0.7665,0.7483,0.7593,0.7510
IG,6,0.7385,10476,6,0.7199,0.7218,0.7232,0.7193,0.8228,0.7229,0.7235,0.8220,0.7304,0.7269,0.7341,0.7040,0.7302,0.7130,0.7199,0.7290,0.7328,0.7276,0.8225,0.7244
IG,7,0.7369,12262,7,0.7092,0.7044,0.8300,0.7124,0.8174,0.7080,0.6960,0.7044,0.8322,0.7084,0.7081,0.8343,0.7123,0.7070,0.7047,0.8247,0.7023,0.7078,0.7024,0.7126
IG,8,0.7279,949,8,0.8233,0.6991,0.8287,0.7164,0.7041,0.7135,0.7103,0.7052,0.7020,0.7001,0.7080,0.6980,0.7060,0.8319,0.6937,0.8231,0.6942,0.7003,0.7072,0.6929
IG,9,0.7309,13283,9,0.7040,0.6943,0.8308,0.7004,0.8194,0.7095,0.8187,0.7015,0.7083,0.6980,0.6902,0.7063,0.8185,0.6995,0.6986,0.7041,0.6872,0.6954,0.7035,0.8302
IG,10,0.7298,13697,10,0.6983,0.6955,0.6974,0.7029,0.6879,0.6994,0.6977,0.8231,0.6891,0.7029,0.7051,0.8287,0.8250,0.6965,0.7023,0.8259,0.6983,0.6981,0.8248,0.6966
IGR,1,0.8108,115,1,0.8133,0.8092,0.8164,0.8107,0.8122,0.0000,0.8201,0.8096,0.8156,0.8088,0.0000,0.0000,0.8124,0.8070,0.8093,0.8061,0.8073,0.8116,0.8035,0.8099
IGR,2,0.8299,237,2,0.8288,0.8273,0.0000,0.8299,0.8297,0.8391,0.8326,0.8283,0.8328,0.8288,0.8314,0.8268,0.8280,0.8260,0.8276,0.8386,0.0000,0.8248,0.8277,0.0000
IGR,3,0.8302,278,3,0.8276,0.8306,0.0000,0.0000,0.8294,0.8253,0.8316,0.0000,0.8294,0.8346,0.8288,0.8316,0.8316,0.8282,0.8345,0.8326,0.8287,0.8293,0.0000,0.8290
IGR,4,0.8577,475,4,0.8641,0.8528,0.0000,0.8526,0.0000,0.8670,0.0000,0.8558,0.8598,0.0000,0.8584,0.8557,0.8607,0.8567,0.8583,0.8549,0.0000,0.8564,0.0000,0.8548
IGR,5,0.8461,1675,5,0.8417,0.8432,0.0000,0.8425,0.8515,0.0000,0.8448,0.8474,0.0000,0.8468,0.8548,0.8486,0.8517,0.8385,0.8412,0.8445,0.8452,0.8481,0.8462,0.8465
IGR,6,0.8243,0,0,0.0000,0.0000,0.8265,0.0000,0.8168,0.8239,0.8263,0.0000,0.0000,0.0000,0.8153,0.8201,0.8270,0.8244,0.8217,0.8276,0.0000,0.8271,0.8287,0.8311
IGR,7,0.7876,5179,7,0.8010,0.7837,0.7866,0.7754,0.0000,0.0000,0.0000,0.7847,0.7892,0.7864,0.0000,0.7826,0.7924,0.7935,0.7903,0.7880,0.7889,0.7792,0.0000,0.7920
IGR,8,0.7578,7620,8,0.7565,0.7566,0.7619,0.7505,0.7496,0.7600,0.0000,0.7609,0.7648,0.7657,0.7603,0.7531,0.7571,0.7625,0.7560,0.7528,0.7623,0.7562,0.7680,0.7441
IGR,9,0.7360,9588,9,0.7368,0.7287,0.7359,0.7511,0.0000,0.7246,0.7355,0.7365,0.7322,0.0000,0.7402,0.7457,0.7370,0.0000,0.7356,0.0000,0.7345,0.0000,0.7299,0.7353
IGR,10,0.7242,10831,10,0.7328,0.7242,0.7089,0.7285,0.7232,0.7212,0.7327,0.7178,0.0000,0.7327,0.7212,0.0000,0.7236,0.7186,0.7285,0.7296,0.7235,0.7199,0.0000,0.0000
