Criterion,MaxDepth,AvgAccuracy,NodeCount,TreeDepth,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20
IG,1,0.6183,3,1,0.6667,0.5667,0.6000,0.6333,0.6667,0.5667,0.6000,0.6667,0.6333,0.6667,0.6000,0.6667,0.5667,0.6667,0.6000,0.6333,0.6333,0.6333,0.5667,0.5333
IG,2,0.9417,5,2,0.9667,0.9333,0.9333,0.9333,0.9333,0.9333,0.9667,0.9667,0.9333,0.9333,0.9333,0.9667,0.9667,0.9333,0.9333,0.9000,1.0000,0.9333,0.8667,0.9667
IG,3,0.9350,7,3,0.9333,0.9333,0.9333,0.9667,0.8667,0.9667,0.9333,0.9000,0.9667,0.9667,0.9333,0.9667,0.9333,0.9667,0.9000,0.9667,0.9667,0.8667,0.9333,0.9000
IG,4,0.9217,11,4,0.9333,0.9667,0.9333,0.9000,0.9333,0.9000,0.9333,0.8667,0.9667,0.9000,0.8667,0.9667,0.9333,0.9000,0.8667,0.9667,0.9333,0.9667,0.9000,0.9000
IG,5,0.9567,16,5,0.9333,1.0000,0.9667,0.9667,0.9333,0.9667,1.0000,0.9667,1.0000,0.9667,0.9667,1.0000,0.9333,0.9000,0.9667,0.9667,0.9333,0.9667,0.9667,0.8333
IG,6,0.9333,15,6,0.8333,0.9333,1.0000,0.9333,0.9333,0.9667,0.9333,0.9667,0.9333,0.9333,0.9333,0.9667,1.0000,0.9667,0.9333,0.9667,0.9000,0.8000,0.9000,0.9333
IG,7,0.9400,17,6,0.9333,0.9000,0.9333,0.9000,0.9333,0.9333,0.9333,0.9667,0.9333,0.9333,0.9667,0.9333,0.9667,0.9333,0.9667,0.9333,0.9333,0.9667,0.9000,1.0000
IG,8,0.9483,19,7,0.9667,0.9667,0.9667,0.9667,0.9333,0.9667,0.9667,0.9000,0.9333,1.0000,0.9000,0.8333,1.0000,1.0000,0.9333,0.9667,0.9333,0.9667,0.9000,0.9667
IG,9,0.9450,17,5,0.9667,1.0000,0.9333,0.9667,0.9667,0.9667,0.9333,0.9667,0.9333,0.9000,0.9333,0.9667,0.9000,0.9667,1.0000,0.9000,0.9667,0.9667,0.9333,0.8333
IG,10,0.9333,15,6,0.9667,0.9667,0.9333,0.9333,0.9667,0.9000,0.9667,0.9000,0.9333,0.9333,0.9333,0.9333,0.8667,0.9667,0.9333,0.9333,0.9333,0.9333,0.9333,0.9000
